,popularity,vote_count,video,poster_path,id,adult,backdrop_path,original_language,original_title,genre_ids,title,vote_average,overview,release_date
915,9.082,2,False,/2MCRbZy8iLHpCUX8yxe0v0JXsqn.jpg,735253,False,/tzyTxNQN95AKhHU4stybzOPOjyy.jpg,en,Bad Nun: Deadly Vows,[27],Bad Nun: Deadly Vows,6.5,"Catherine and her family recently moved into a converted church. Upon moving in, they have been harassed by an unknown religious stalker, claiming them to be sinners. Pamela, Catherine's grandmother soon begins to reveal she has secrets hidden to the local church, and not all is as it seems. Each night the Nun returns, and this time, she is looking to claim more than one soul.",2020-08-18
916,9.05,0,False,,744955,False,,en,Christmas on the Menu,[],Christmas on the Menu,0.0,"Josie Jennings (Kim Shaw) a celebrated, romantic, 35-year old chef in the city heads home to spend the holidays at the quaint, magical bed and breakfast where she grew up, and where her mother Shannon (Cynthia Gibb) has just opened a new restaurant. Famous food critic Tanner Rhodes (Clayton James), who has given Josie harsh reviews in the past, comes to town to review the new restaurant and Josie’s Christmas Cuisine. As the holidays unfold, Josie and Tanner get to know each other better, and a romance soon begins to blossom but will Tanner find a way to right his wrongs, write a rave review for the bistro’s delicious cuisine, and win Josie’s heart by Christmas Eve?",2020-12-18
917,9.025,1,False,/oRl9OFdPzyMuus7E7tgno3JdJaZ.jpg,730337,False,,en,Cover Me,"[18, 10751]",Cover Me,7.0,"Mia Stone is faced with an eerie supernatural opportunity when a strange encounter with an eccentric man gives her a second chance at saving her company, marriage, family, and future.",2020-04-01
918,9.024,0,False,/m2y6DpWsV8ldcUR314GfsOIPxCW.jpg,663645,False,/t9BJUJneLtCjiG5TJSK2XMHSM1N.jpg,en,NWA Hard Times,"[28, 18]",NWA Hard Times,0.0,"NWA Hard Times (stylized as Hard × Times) is an upcoming professional wrestling pay-per-view event that will be scripted and produced by the National Wrestling Alliance (NWA). It will take place on January 24, 2020 in Atlanta, Georgia at the GPB Studios. The show will feature the finals of a tournament to crown a new NWA World Television Champion.",2020-01-24
919,9.012,0,False,/l5n8Qb5Vm01s8UdqI6Brf0J4j6W.jpg,642208,False,/BjLgTDAcZc94KomcQAxMVye0yI.jpg,en,Supernova,[18],Supernova,0.0,"Sam and Tusker, partners of 20 years, are traveling across England in their old RV visiting friends, family and places from their past. Since Tusker was diagnosed with early-onset dementia two years ago, their time together is the most important thing they have.  As the trip progresses, however, their ideas for the future clash, secrets come out, and their love for each other is tested as never before. Ultimately, they must confront the question of what it means to love one another in the face of Tusker’s illness.",2020-11-27
920,8.996,1,False,/zRK3ZhFj3kK5RFQzXM1E1ssO5Sw.jpg,747969,False,,en,Stealing a Survivor,[35],Stealing a Survivor,6.0,"Two worlds collide. Ray Martin is in a bit of a pickle. His father's (George Wendt) chauffeur business is failing financially and is on the verge of collapsing. Ray must find a way to save the company. at the same time - Gervase Peterson's career in Hollywood is hanging on by a thread and he needs to salvage whatever is left of his career. Through a chance meeting, Ray wrangles together an eclectic bunch of strangers and friends to get Gervase's career back on track and save his father from bankruptcy.",2020-06-30
921,8.99,0,False,/7b9upoEYpOg3RgSuQCIRNW4pd6y.jpg,667585,False,/jKHxpzea28XqnOitd695vHuDkzJ.jpg,hi,छलांग,"[35, 18]",Chhalaang,0.0,"Chhalaang humorously addresses the value of Sports Education in the school curriculum. It follows a hilarious, yet an inspirational journey of a typical PT Master from a semi government-funded school in Northern India, Montu, for whom it’s just a job and is forced to do what he has never done - Teach.",2020-11-13
922,8.987,1,False,/t8lcvROwLTsAp7v6zZPcaRU9f4y.jpg,749458,False,/hNk2TFRXSMjYGWe9bo1cHJt8997.jpg,en,Deadly Double Cross,[],Deadly Double Cross,7.0,"Mother, Lisa, is determined to prove that her teen daughter, Amber, is innocent of murdering her older boyfriend.",2020-10-02
923,8.983,8,False,/nPQwTtppe0nzbFLSAMaqMnL8e4c.jpg,701369,False,/yWz3UE8oHy1tUBjbCXvGiLB2BmC.jpg,en,Edge of Extinction,"[28, 18, 27, 878]",Edge of Extinction,4.6,"15 years after a global apocalypse, mankind is on the verge of extinction. Civilisation no longer exists, food is scarce and most eke out a living by stealing and killing. One boy clings onto life in the desolate British countryside, where staying away from others has been key to his survival. But this self-imposed isolation comes to an abrupt end when he crosses paths with another group of survivors and faces an enemy far more savage than any of them could imagine.",2020-05-18
924,8.978,1,False,/5vHZIykgtWslP6gWC0Sy1yLRfoP.jpg,574172,False,/4HuqtKa3E7xBGnOywawA7AbbeKE.jpg,en,Extra Innings,[18],Extra Innings,5.0,"Set in the 1960s Brooklyn among a conservative Syrian Jewish community, Extra Innings tells the tale of a young baseball enthusiast, David Sabah, and his trials through family dismay and loss.",2020-05-03
