budget,genres,id,imdb_id,original_language,original_title,popularity,release_date,revenue,runtime,title,vote_average,vote_count
85000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",157350.0,tt1840309,en,Divergent,42.412,2014-03-14,288747895.0,139.0,Divergent,6.9,10011.0
0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",482273.0,tt1266036,en,Valley Girl,33.994,2020-05-08,0.0,102.0,Valley Girl,6.4,23.0
15000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",1368.0,tt0083944,en,First Blood,35.798,1982-10-22,125212904.0,93.0,First Blood,7.4,3956.0
0.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",14003.0,tt0485323,ja,劇場版 鋼の錬金術師 シャンバラを征く者,29.194000000000003,2005-07-21,0.0,105.0,Fullmetal Alchemist The Movie: Conqueror of Shamballa,7.1,183.0
36000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}]",332562.0,tt1517451,en,A Star Is Born,37.938,2018-10-03,433888866.0,136.0,A Star Is Born,7.5,8678.0
0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",18095.0,tt0142232,ja,ドラゴンボールGT 悟空外伝! 勇気の証しは四星球(スーシンチュウ),34.191,1997-03-26,0.0,45.0,Dragon Ball GT: A Hero's Legacy,6.2,150.0
0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",551499.0,tt7972178,es,70 Binladens,33.576,2019-03-08,0.0,105.0,70 Big Ones,5.4,37.0
11000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",290764.0,tt2401097,en,Tracers,37.718,2015-01-15,593683.0,94.0,Tracers,6.1,885.0
0.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10770, 'name': 'TV Movie'}]",523849.0,tt8031422,en,The Last Sharknado: It's About Time,36.705,2018-08-19,0.0,86.0,The Last Sharknado: It's About Time,4.4,117.0
175000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",14160.0,tt1049413,en,Up,37.033,2009-05-28,735099082.0,96.0,Up,7.9,14959.0
14000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",4232.0,tt0117571,en,Scream,33.379,1996-12-20,173046663.0,112.0,Scream,7.2,3920.0
500.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",34004.0,tt0276011,en,Children of the Living Dead,32.008,2001-06-11,0.0,90.0,Children of the Living Dead,3.8,11.0
0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]",50253.0,tt0805605,ja,聖闘士星矢 天界編 序奏 ~overture~,31.677,2004-02-14,0.0,83.0,Saint Seiya Heaven Chapter: Overture,7.7,123.0
25000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",417384.0,tt3387520,en,Scary Stories to Tell in the Dark,37.798,2019-08-08,95438172.0,108.0,Scary Stories to Tell in the Dark,6.4,1585.0
40000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]",165.0,tt0096874,en,Back to the Future Part II,34.027,1989-11-22,332000000.0,108.0,Back to the Future Part II,7.7,8945.0
