,popularity,id,video,vote_count,vote_average,title,release_date,original_language,original_title,genre_ids,backdrop_path,adult,overview,poster_path
9528,0.875,689360,False,0,0.0,They Looked at Me and I Smiled,2019-06-17,en,They Looked at Me and I Smiled,[],,False,Artists who use their bodies as their medium or canvas while existing in their natural environments. Are they performing? Do their performances end after the makeup is removed? Can a performance continue in an empty apartment instead of in front of an audience?,/wKsZqVSXsFUupL3h6nrLgV5DCoB.jpg
9529,0.875,683689,False,0,0.0,L'érotisme... un atout ou un abus au cinéma ?,2019-06-24,fr,L'érotisme... un atout ou un abus au cinéma ?,[99],/t8M6CIFrQKkVceFKCtiCqO0TIri.jpg,False,,/qtek2KXXzamA0dzHH3xu5VKMZWe.jpg
9530,0.875,682940,False,0,0.0,24 hodin pražského metra,2019-05-07,cs,24 hodin pražského metra,[99],,False,,/eRLiPixSkzLqGjb1mVkZFskveWz.jpg
9531,0.875,666647,False,0,0.0,Records. Geography of San Sadurniño,2019-05-04,gl,Rexistros. Xeografía de San Sadurniño,[99],,False,"A few trees, a few animals, lights, colours, spaces. Sensorial navigation through the hamlets of San Sadurniño, where seeing is retaining–perceiving, where the eye is not contaminated and takes pleasure in the adventure of perception. Quoting Stan Brakhage, ""How many colors are there in a field of grass to the crawling baby unaware of ‘green’ ? How many rainbows can light create for the untutored eye ? How aware of variations in heat waves can that eye be ?""",/iqZuHM0TaVYPFikbTWLNPGbymc.jpg
9532,0.875,665566,False,0,0.0,Long Haul,2019-03-23,en,Long Haul,[18],,False,"Bo, a religious and ultra-conservative teen goes on a cross-country delivery job with his estranged father. On the trip, Bo struggles with his parent's recent divorce and discovering that his father is gay.",/4buXP1PW1KVWttGmT38Mvav2XL3.jpg
9533,0.875,663921,False,0,0.0,Little Grey Wolfy - Summer Party,2019-06-23,no,Den vesle grå ulven - Sommerfest,"[16, 10751]",/qnIoFV6RLmN7vP27lzrjpJ3Iipo.jpg,False,"Summer is here, nights are short and it’s full moon. Little Grey Wolfy’s birthday is also approaching. He dreams of a real birthday cake with candles and cream, but everyone knows that cakes do not grow on trees.",/93j49RAiihenzlXZEIr2X7tPnTM.jpg
9534,0.875,646259,False,0,0.0,Hatiku Di Skakmat By You,2019-05-04,id,Hatiku Di Skakmat By You,"[18, 10749, 10770]",,False,,/r700c1vLRhAMjDfClzHgvZcV1V4.jpg
9535,0.875,639356,False,0,0.0,Romy & Laure et le Secret de l'Homme Meuble,2019-06-19,fr,Romy & Laure et le Secret de l'Homme Meuble,[],,False,,/6aHI78ByIdFduXDsXM9Hw3IENKb.jpg
9536,0.875,636828,False,0,0.0,Sunday,2019-06-22,en,Sunday,[],/p8V9ilIh346NRKsEMr433HyJ2q0.jpg,False,A young woman with a full body rash is driven to violence during a forbidden encounter with her sister’s boyfriend.,/reLRPtZaa2ksI3tVqo1ds2e8xcy.jpg
9537,0.875,635459,False,0,0.0,The Nest,2019-06-20,en,The Nest,[],,False,A lonesome history buff invites a mysterious stranger into his home in hopes of exploring his repressed sexual fantasies.,/1fkxFX1s4VoyYI4ysLwxJWWTryG.jpg
